Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,23.99,24.39,22.50,22.72,721600,22.72
2015-01-14,21.57,24.89,21.38,24.09,2045900,24.09
2015-01-13,22.42,23.68,21.35,21.85,1706700,21.85
2015-01-12,23.50,23.50,22.32,22.85,798100,22.85
2015-01-09,22.91,23.26,21.85,22.13,552400,22.13
2015-01-08,22.74,23.59,22.54,22.82,379000,22.82
2015-01-07,22.83,23.02,22.66,23.01,471600,23.01
2015-01-06,22.91,23.50,21.79,22.67,1113600,22.67
2015-01-05,21.44,22.80,21.17,22.74,544100,22.74
2015-01-02,21.21,21.80,20.84,21.58,294100,21.58
2014-12-31,21.22,21.99,20.91,20.94,544900,20.94
2014-12-30,21.87,21.87,21.13,21.16,18200,21.16
2014-12-29,21.96,22.48,21.66,21.84,239700,21.84
