Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,2.60,2.60,2.45,2.50,16300,2.50
2015-01-14,2.61,2.72,2.54,2.61,3200,2.61
2015-01-13,2.71,2.72,2.59,2.62,1600,2.62
2015-01-12,2.64,2.79,2.62,2.73,1700,2.73
2015-01-09,2.59,2.76,2.41,2.62,14600,2.62
2015-01-08,2.77,2.80,2.66,2.77,9900,2.77
2015-01-07,2.78,2.79,2.66,2.75,10500,2.75
2015-01-06,2.76,2.79,2.60,2.74,6700,2.74
2015-01-05,2.70,2.75,2.56,2.69,15100,2.69
2015-01-02,2.66,2.75,2.60,2.75,3600,2.75
2014-12-31,2.67,2.75,2.55,2.55,30500,2.55
2014-12-30,2.48,2.59,2.48,2.59,1000,2.59
2014-12-29,2.75,2.75,2.55,2.65,9300,2.65
