Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,23.52,23.73,23.05,23.32,322300,23.32
2015-01-14,23.19,23.75,23.13,23.53,184600,23.53
2015-01-13,24.13,24.21,23.30,23.56,387300,23.56
2015-01-12,23.86,24.05,23.08,23.98,342600,23.98
2015-01-09,23.99,25.10,23.37,23.80,593200,23.80
2015-01-08,22.55,22.99,22.09,22.79,524100,22.79
2015-01-07,22.55,22.76,21.97,22.29,367200,22.29
2015-01-06,23.41,23.41,21.86,22.45,616600,22.45
2015-01-05,24.12,24.21,23.02,23.44,411700,23.44
2015-01-02,23.83,24.31,23.31,24.22,391300,24.22
2014-12-31,24.01,24.01,23.66,23.70,251000,23.70
2014-12-30,23.89,24.00,23.72,23.97,20200,23.97
2014-12-29,24.19,24.22,23.68,24.07,268900,24.07
