Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,53.30,57.21,52.40,55.51,60000,55.51
2015-01-14,53.51,55.08,52.65,53.27,11700,53.27
2015-01-13,54.60,54.92,53.25,53.79,19600,53.79
2015-01-12,54.18,54.91,53.78,54.14,102800,54.14
2015-01-09,54.17,54.75,53.51,54.48,49400,54.48
2015-01-08,55.51,56.04,53.20,54.21,19300,54.21
2015-01-07,56.39,56.39,54.21,55.72,10400,55.72
2015-01-06,56.10,56.20,53.74,54.87,10800,54.87
2015-01-05,58.00,58.00,56.05,56.15,13700,56.15
2015-01-02,58.26,58.60,57.50,58.00,32100,58.00
2014-12-31,57.05,58.76,57.05,58.15,13100,58.15
2014-12-30,57.97,58.94,56.47,56.90,2000,56.90
2014-12-29,57.66,58.60,57.02,57.95,5900,57.95
