Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,30.80,31.30,27.35,27.88,267800,27.88
2015-01-14,29.40,31.21,29.18,30.85,311300,30.85
2015-01-13,29.65,30.03,29.35,29.81,239500,29.81
2015-01-12,30.26,30.50,28.66,29.51,172500,29.51
2015-01-09,30.94,30.94,29.56,30.09,224200,30.09
2015-01-08,32.00,32.00,30.88,30.94,689800,30.94
2015-01-07,30.21,31.29,30.21,31.06,286200,31.06
2015-01-06,30.11,30.86,29.41,30.21,289200,30.21
2015-01-05,31.30,31.39,29.65,29.93,220700,29.93
2015-01-02,29.45,31.34,29.23,31.25,283800,31.25
2014-12-31,28.97,29.99,28.80,29.19,196100,29.19
2014-12-30,30.37,30.37,29.04,29.08,5000,29.08
2014-12-29,29.83,30.56,29.63,30.03,92700,30.03
