Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,5.25,5.26,5.20,5.21,2300,5.21
2015-01-14,5.40,5.40,5.25,5.25,1300,5.25
2015-01-13,5.49,5.49,5.49,5.49,000,5.49
2015-01-12,5.50,5.50,5.45,5.49,400,5.49
2015-01-09,5.64,5.74,5.64,5.65,7200,5.65
2015-01-08,5.80,5.97,5.69,5.69,16300,5.69
2015-01-07,5.90,6.12,5.32,5.80,47400,5.80
2015-01-06,5.49,5.63,5.29,5.58,12100,5.58
2015-01-05,5.48,5.69,5.45,5.45,2100,5.45
2015-01-02,5.52,5.79,5.45,5.45,8500,5.45
2014-12-31,5.91,5.91,5.45,5.53,13700,5.53
2014-12-30,5.81,5.81,5.81,5.81,100,5.81
2014-12-29,5.99,6.21,5.92,5.94,2600,5.94
