Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,2.37,2.40,2.36,2.40,4500,2.40
2015-01-14,2.40,2.40,2.35,2.39,14200,2.39
2015-01-13,2.38,2.41,2.38,2.41,4700,2.41
2015-01-12,2.40,2.45,2.37,2.40,12100,2.40
2015-01-09,2.36,2.47,2.36,2.46,9400,2.46
2015-01-08,2.38,2.40,2.37,2.39,4700,2.39
2015-01-07,2.40,2.40,2.36,2.40,16800,2.40
2015-01-06,2.37,2.40,2.37,2.38,15200,2.38
2015-01-05,2.40,2.45,2.37,2.37,29100,2.37
2015-01-02,2.35,2.46,2.34,2.40,59600,2.40
2014-12-31,2.42,2.47,2.42,2.44,31000,2.44
2014-12-30,2.43,2.43,2.43,2.43,000,2.43
2014-12-29,2.42,2.47,2.41,2.42,24900,2.42
