Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,0.59,0.59,0.56,0.56,423400,0.56
2015-01-14,0.58,0.61,0.58,0.59,263700,0.59
2015-01-13,0.59,0.62,0.58,0.59,285300,0.59
2015-01-12,0.64,0.64,0.59,0.59,544000,0.59
2015-01-09,0.60,0.62,0.58,0.61,501600,0.61
2015-01-08,0.60,0.60,0.57,0.59,459000,0.59
2015-01-07,0.59,0.60,0.57,0.60,225400,0.60
2015-01-06,0.60,0.62,0.56,0.58,480000,0.58
2015-01-05,0.61,0.61,0.59,0.60,280300,0.60
2015-01-02,0.64,0.64,0.57,0.60,561500,0.60
2014-12-31,0.62,0.64,0.59,0.60,744000,0.60
2014-12-30,0.64,0.67,0.63,0.64,32000,0.64
2014-12-29,0.57,0.65,0.56,0.62,862800,0.62
