Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,30.36,30.54,29.73,30.36,49500,30.36
2015-01-14,30.02,30.53,30.02,30.24,56000,30.24
2015-01-13,30.01,31.26,30.01,30.19,71300,30.19
2015-01-12,29.58,29.98,29.02,29.77,32900,29.77
2015-01-09,29.60,29.84,29.37,29.50,21000,29.50
2015-01-08,28.90,29.76,28.71,29.59,138300,29.59
2015-01-07,28.83,28.83,28.30,28.68,38800,28.68
2015-01-06,28.92,28.98,28.10,28.69,52200,28.69
2015-01-05,28.91,29.31,28.59,28.91,52500,28.91
2015-01-02,29.02,29.26,28.34,29.00,42500,29.00
2014-12-31,29.13,29.25,28.75,28.95,76600,28.95
2014-12-30,29.13,29.30,28.95,29.13,3000,29.13
2014-12-29,29.50,29.65,29.00,29.11,42000,29.11
