Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,26.55,26.55,26.55,26.55,000,26.55
2015-01-14,26.55,26.55,26.55,26.55,000,26.55
2015-01-13,26.55,26.55,26.55,26.55,000,26.55
2015-01-12,26.55,26.55,26.55,26.55,300,26.55
2015-01-09,25.40,25.40,25.40,25.40,000,25.40
2015-01-08,25.40,25.40,25.40,25.40,000,25.40
2015-01-07,25.40,25.40,25.40,25.40,000,25.40
2015-01-06,25.40,25.40,25.40,25.40,000,25.40
2015-01-05,25.40,25.40,25.40,25.40,000,25.40
2015-01-02,25.40,25.40,25.40,25.40,000,25.40
2014-12-31,25.40,25.40,25.40,25.40,000,25.40
2014-12-30,25.40,25.40,25.40,25.40,100,25.40
2014-12-29,25.40,25.40,25.40,25.40,000,25.40
