Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,10.94,11.09,10.90,10.95,1578100,10.95
2015-01-14,10.70,10.97,10.69,10.88,1229100,10.88
2015-01-13,10.88,10.98,10.73,10.85,1462200,10.85
2015-01-12,10.77,10.84,10.43,10.69,1289200,10.69
2015-01-09,10.47,10.53,10.32,10.39,619400,10.39
2015-01-08,10.23,10.58,10.12,10.49,849200,10.49
2015-01-07,9.97,10.12,9.94,10.10,827700,10.10
2015-01-06,10.00,10.10,9.80,9.94,1035900,9.94
2015-01-05,9.94,10.18,9.81,9.99,1177500,9.99
2015-01-02,9.98,10.09,9.70,9.99,452000,9.99
2014-12-31,10.00,10.29,9.87,9.87,582400,9.87
2014-12-30,10.08,10.17,9.92,9.99,35400,9.99
2014-12-29,10.11,10.36,10.08,10.15,776200,10.15
