Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,16.50,16.60,15.96,16.03,219100,16.03
2015-01-14,16.68,16.71,16.14,16.47,107900,16.47
2015-01-13,16.22,16.85,16.22,16.79,100100,16.79
2015-01-12,16.00,16.40,15.89,16.14,135800,16.14
2015-01-09,16.10,16.34,15.90,16.05,91300,16.05
2015-01-08,16.15,16.15,16.01,16.05,27900,16.05
2015-01-07,15.98,16.18,15.76,16.03,84900,16.03
2015-01-06,16.35,16.50,15.58,15.87,51500,15.87
2015-01-05,16.80,17.00,16.23,16.35,171400,16.35
2015-01-02,16.37,17.13,16.37,16.84,116900,16.84
2014-12-31,16.17,16.44,15.90,16.32,160200,16.32
2014-12-30,16.13,16.28,15.86,16.15,2700,16.15
2014-12-29,16.33,16.33,15.88,16.00,207000,16.00
