Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,5.92,6.16,5.60,5.62,55800,5.62
2015-01-14,6.07,6.27,5.85,5.91,102700,5.91
2015-01-13,6.85,6.96,5.82,6.20,172100,6.20
2015-01-12,6.92,7.37,6.81,6.87,67600,6.87
2015-01-09,7.14,7.37,6.54,6.91,66400,6.91
2015-01-08,7.40,7.61,7.10,7.13,63400,7.13
2015-01-07,6.47,7.60,6.44,7.20,120500,7.20
2015-01-06,6.65,6.65,6.18,6.40,54800,6.40
2015-01-05,6.19,7.02,6.09,6.55,68600,6.55
2015-01-02,6.31,6.52,6.16,6.24,55500,6.24
2014-12-31,6.25,6.39,6.11,6.20,67200,6.20
2014-12-30,6.25,6.25,6.18,6.22,1000,6.22
2014-12-29,6.07,6.36,6.05,6.31,28700,6.31
