Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,15.26,15.31,14.88,14.96,202400,14.96
2015-01-14,14.74,15.39,14.74,15.27,219500,15.27
2015-01-13,14.45,15.07,14.31,15.05,303900,15.05
2015-01-12,14.14,14.25,13.82,14.19,131800,14.19
2015-01-09,14.34,14.59,14.10,14.18,59400,14.18
2015-01-08,14.09,14.43,13.99,14.36,89400,14.36
2015-01-07,13.91,14.10,13.76,13.98,125800,13.98
2015-01-06,14.10,14.26,13.60,13.79,148900,13.79
2015-01-05,14.63,14.76,14.01,14.07,173700,14.07
2015-01-02,14.63,14.96,14.22,14.55,129700,14.55
2014-12-31,14.90,15.03,14.50,14.51,211100,14.51
2014-12-30,14.83,14.97,14.72,14.83,111300,14.83
2014-12-29,15.00,15.34,14.75,14.84,213100,14.84
