Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,50.10,50.36,49.44,50.00,770600,50.00
2015-01-14,49.97,50.15,48.85,50.11,721700,50.11
2015-01-13,50.50,51.25,49.80,50.36,758800,50.36
2015-01-12,51.77,51.80,49.51,50.25,1105800,50.25
2015-01-09,52.00,52.14,51.53,51.84,1063200,51.84
2015-01-08,51.08,52.05,50.54,52.05,3576700,52.05
2015-01-07,53.50,54.09,53.33,54.00,670700,54.00
2015-01-06,53.43,54.46,53.02,53.28,736000,53.28
2015-01-05,55.07,55.41,53.28,53.52,689000,53.52
2015-01-02,56.60,56.73,54.72,55.11,655900,55.11
2014-12-31,55.25,56.48,54.96,56.25,606200,56.25
2014-12-30,55.45,56.14,54.70,54.98,596800,54.98
2014-12-29,54.50,55.92,54.24,55.83,573400,55.58
