Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,5.57,5.69,5.30,5.32,2043200,5.32
2015-01-14,5.41,5.81,5.30,5.59,3976800,5.59
2015-01-13,6.01,6.09,5.50,5.70,9030800,5.70
2015-01-12,6.10,6.49,5.90,6.17,27576800,6.17
2015-01-09,5.12,5.80,4.88,5.29,28345000,5.29
2015-01-08,4.03,4.15,4.01,4.11,622200,4.11
2015-01-07,3.95,4.05,3.91,4.01,635400,4.01
2015-01-06,4.20,4.34,3.80,3.91,960900,3.91
2015-01-05,3.99,4.25,3.95,4.17,665600,4.17
2015-01-02,3.97,4.02,3.88,3.98,390100,3.98
2014-12-31,4.05,4.09,3.93,3.97,452900,3.97
2014-12-30,4.02,4.06,3.97,4.01,12800,4.01
2014-12-29,4.15,4.28,3.97,4.00,754300,4.00
