Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,52.67,52.82,51.83,52.20,97200,52.20
2015-01-14,52.81,53.81,51.91,52.61,131400,52.61
2015-01-13,53.73,54.94,53.30,53.89,126500,53.89
2015-01-12,54.10,54.35,53.02,53.25,106100,53.25
2015-01-09,54.63,55.26,53.69,54.25,118800,54.25
2015-01-08,54.35,55.04,53.70,54.68,69800,54.68
2015-01-07,54.00,54.00,52.86,53.90,101500,53.90
2015-01-06,53.38,53.99,52.55,53.37,85900,53.37
2015-01-05,53.98,54.44,53.50,53.90,85300,53.90
2015-01-02,55.87,56.13,53.94,54.33,64400,54.33
2014-12-31,56.87,57.19,55.44,55.47,74800,55.47
2014-12-30,56.21,56.95,56.21,56.78,81300,56.78
2014-12-29,55.82,56.41,55.73,56.35,81300,56.35
