Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,24.67,24.74,24.64,24.69,7800,24.69
2015-01-14,24.85,24.88,24.68,24.68,15500,24.68
2015-01-13,25.02,25.11,24.80,24.90,12600,24.90
2015-01-12,24.95,24.99,24.90,24.97,9400,24.97
2015-01-09,24.95,24.97,24.80,24.95,7200,24.95
2015-01-08,25.00,25.05,24.89,25.00,18500,25.00
2015-01-07,24.94,25.10,24.91,25.09,20800,25.09
2015-01-06,24.82,24.97,24.82,24.91,12000,24.91
2015-01-05,24.93,24.97,24.55,24.90,31100,24.90
2015-01-02,24.66,24.86,24.52,24.86,12900,24.86
2014-12-31,24.99,25.10,24.50,24.63,46300,24.63
2014-12-30,24.99,24.99,24.65,24.96,12800,24.96
2014-12-29,24.55,24.78,24.48,24.77,15400,24.77
