Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,138.03,138.85,126.45,127.71,1264600,127.71
2015-01-14,127.42,136.95,126.00,135.01,923300,135.01
2015-01-13,135.00,137.36,127.51,129.93,1359100,129.93
2015-01-12,130.49,132.95,126.06,131.55,1006500,131.55
2015-01-09,122.69,128.48,121.51,128.12,994700,128.12
2015-01-08,121.05,122.00,116.58,121.97,839900,121.97
2015-01-07,112.99,119.69,112.22,118.81,821700,118.81
2015-01-06,110.00,112.99,108.35,111.43,786600,111.43
2015-01-05,107.06,112.40,106.00,108.87,607800,108.87
2015-01-02,113.65,114.78,106.23,109.76,642500,109.76
2014-12-31,112.03,115.85,111.63,112.04,439900,112.04
2014-12-30,115.80,115.90,111.95,112.20,22700,112.20
2014-12-29,114.48,116.33,113.55,115.60,540400,115.60
