Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,21.52,21.67,21.43,21.48,6365100,21.48
2015-01-14,21.52,21.56,21.23,21.53,5126000,21.53
2015-01-13,21.88,21.95,21.50,21.64,3523700,21.64
2015-01-12,21.95,21.95,21.78,21.90,2785400,21.90
2015-01-09,22.00,22.09,21.93,21.94,3525800,21.94
2015-01-08,22.15,22.16,21.95,22.01,3578200,22.01
2015-01-07,22.13,22.16,22.03,22.09,3501100,22.09
2015-01-06,22.21,22.30,22.03,22.12,4037500,22.12
2015-01-05,22.26,22.27,22.00,22.11,3108900,22.11
2015-01-02,21.87,22.36,21.82,22.32,2956900,22.32
2014-12-31,22.08,22.24,21.78,21.83,3084900,21.83
2014-12-30,22.20,22.31,22.01,22.13,2274900,22.13
2014-12-29,22.20,22.47,22.05,22.32,4395500,22.32
