Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,24.88,24.94,24.82,24.91,8900,24.91
2015-01-14,24.91,24.92,24.81,24.81,9200,24.81
2015-01-13,24.98,24.98,24.87,24.89,14300,24.89
2015-01-12,25.00,25.10,24.91,24.91,30400,24.91
2015-01-09,24.92,25.00,24.92,25.00,15000,25.00
2015-01-08,24.91,24.98,24.87,24.91,17900,24.91
2015-01-07,24.96,24.96,24.83,24.92,93500,24.92
2015-01-06,24.90,24.95,24.89,24.92,10200,24.92
2015-01-05,24.89,24.95,24.80,24.84,29300,24.84
2015-01-02,24.99,24.99,24.85,24.96,10900,24.96
2014-12-31,24.78,25.00,24.78,24.95,10100,24.95
2014-12-30,24.84,24.84,24.70,24.78,10600,24.78
2014-12-29,24.80,25.07,24.60,24.76,35700,24.76
