Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,26.66,26.66,26.22,26.31,9500,26.31
2015-01-14,26.41,26.45,26.35,26.37,2500,26.37
2015-01-13,26.53,26.59,26.42,26.45,5500,26.45
2015-01-12,26.53,26.61,26.46,26.46,7200,26.46
2015-01-09,26.59,27.00,26.56,26.67,21700,26.67
2015-01-08,26.57,26.57,26.42,26.54,2300,26.54
2015-01-07,26.40,26.58,26.36,26.57,6100,26.57
2015-01-06,26.50,26.60,26.35,26.57,7500,26.57
2015-01-05,26.39,26.49,26.30,26.44,23900,26.44
2015-01-02,26.66,26.66,26.43,26.43,17200,26.43
2014-12-31,26.17,26.68,26.17,26.68,4000,26.68
2014-12-30,26.45,26.50,26.26,26.33,7200,26.33
2014-12-29,26.40,26.48,26.32,26.46,23700,26.46
