Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,44.25,44.25,43.84,43.84,4100,43.84
2015-01-14,44.07,44.34,44.06,44.18,700,44.18
2015-01-13,44.45,44.60,44.40,44.60,1600,44.60
2015-01-12,44.49,44.49,44.40,44.44,5300,44.44
2015-01-09,44.98,44.98,44.49,44.70,3800,44.70
2015-01-08,44.91,44.96,44.80,44.94,7100,44.94
2015-01-07,44.77,44.78,44.45,44.49,4700,44.49
2015-01-06,44.52,44.58,44.31,44.33,1000,44.33
2015-01-05,44.80,44.80,44.60,44.78,1700,44.78
2015-01-02,45.04,45.04,45.04,45.04,000,45.04
2014-12-31,45.04,45.34,45.02,45.04,2900,45.04
2014-12-30,45.01,45.38,45.01,45.03,900,45.03
2014-12-29,45.44,45.44,45.44,45.44,500,45.44
