Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,6.00,6.08,5.80,5.97,12400,5.97
2015-01-14,6.31,6.31,5.90,5.98,29900,5.98
2015-01-13,6.85,6.85,6.35,6.39,10400,6.39
2015-01-12,7.00,7.00,6.71,6.73,14200,6.73
2015-01-09,6.61,7.05,6.40,6.84,31100,6.84
2015-01-08,6.66,6.73,6.38,6.47,16800,6.47
2015-01-07,6.71,6.84,6.27,6.70,16500,6.70
2015-01-06,6.17,6.71,6.17,6.50,19900,6.50
2015-01-05,6.32,6.32,6.20,6.32,14200,6.32
2015-01-02,6.23,6.32,6.10,6.32,16300,6.32
2014-12-31,6.63,6.78,6.00,6.14,115700,6.14
2014-12-30,6.79,6.79,6.79,6.79,100,6.79
2014-12-29,6.50,6.91,6.50,6.62,49500,6.62
