Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,11.91,11.92,11.25,11.27,60100,11.27
2015-01-14,12.11,12.14,11.91,11.96,41400,11.96
2015-01-13,12.14,12.48,11.96,12.16,30400,12.16
2015-01-12,12.15,12.23,12.05,12.07,13500,12.07
2015-01-09,12.16,12.26,12.11,12.21,18800,12.21
2015-01-08,12.15,12.28,12.10,12.21,13600,12.21
2015-01-07,12.06,12.11,11.98,12.11,19100,12.11
2015-01-06,12.20,12.20,11.96,12.05,25900,12.05
2015-01-05,12.37,12.54,12.23,12.33,23000,12.33
2015-01-02,12.54,12.54,12.24,12.40,22800,12.40
2014-12-31,12.43,12.65,12.36,12.59,24100,12.59
2014-12-30,12.60,12.60,12.51,12.51,300,12.51
2014-12-29,12.64,12.65,12.41,12.49,33000,12.49
