Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,49.00,49.00,48.80,48.85,3500,48.85
2015-01-14,48.92,49.06,48.92,48.96,2100,48.96
2015-01-13,49.16,49.16,49.01,49.09,4700,49.09
2015-01-12,49.15,49.21,48.93,49.06,19700,49.06
2015-01-09,49.16,49.18,49.00,49.00,2900,49.00
2015-01-08,49.22,49.22,49.17,49.18,3600,49.18
2015-01-07,49.25,49.25,49.04,49.10,4300,49.10
2015-01-06,49.23,49.27,49.02,49.02,2200,49.02
2015-01-05,49.08,49.27,49.08,49.27,3600,49.27
2015-01-02,49.31,49.32,49.11,49.29,2400,49.29
2014-12-31,49.29,49.34,49.14,49.34,2400,49.34
2014-12-30,49.18,49.34,49.18,49.18,8400,49.18
2014-12-29,49.19,49.34,49.19,49.34,2200,49.34
