Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,56.04,57.29,55.18,55.84,40400,55.84
2015-01-14,56.15,57.19,55.32,56.83,34800,56.83
2015-01-13,58.89,59.38,56.04,56.80,32200,56.80
2015-01-12,59.77,59.77,58.73,58.81,28300,58.81
2015-01-09,60.18,60.66,59.06,60.07,32700,60.07
2015-01-08,59.51,61.21,59.51,60.85,74100,60.85
2015-01-07,61.05,61.50,57.84,59.05,47500,59.05
2015-01-06,60.53,61.35,59.01,60.81,66500,60.81
2015-01-05,62.59,62.59,59.27,61.00,50100,61.00
2015-01-02,61.20,62.29,59.90,62.29,34000,62.29
2014-12-31,61.06,61.50,60.00,60.99,86700,60.99
2014-12-30,59.65,61.21,59.60,61.20,68300,61.20
2014-12-29,58.90,60.29,58.90,60.25,36000,60.25
