Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,1.49,1.50,1.47,1.47,11000,1.47
2015-01-14,1.47,1.58,1.47,1.56,1200,1.56
2015-01-13,1.51,1.65,1.50,1.50,33900,1.50
2015-01-12,1.32,1.56,1.32,1.51,12100,1.51
2015-01-09,1.76,1.76,1.55,1.55,4200,1.55
2015-01-08,1.73,1.74,1.63,1.64,5000,1.64
2015-01-07,1.66,1.66,1.60,1.64,5100,1.64
2015-01-06,1.70,1.73,1.64,1.69,3200,1.69
2015-01-05,1.70,1.71,1.55,1.55,14800,1.55
2015-01-02,1.84,1.84,1.60,1.77,31600,1.77
2014-12-31,1.50,1.84,1.48,1.84,17800,1.84
2014-12-30,1.52,1.58,1.52,1.52,200,1.52
2014-12-29,1.60,1.60,1.47,1.53,45700,1.53
