Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,25.58,25.58,24.71,25.22,180100,25.22
2015-01-14,25.10,25.73,25.10,25.56,147700,25.56
2015-01-13,25.77,26.13,24.97,25.48,390800,25.48
2015-01-12,26.43,26.43,25.46,25.50,315500,25.50
2015-01-09,27.01,27.01,26.37,26.40,301400,26.40
2015-01-08,27.04,27.77,26.87,27.04,81300,27.04
2015-01-07,27.10,27.10,26.58,26.74,145500,26.74
2015-01-06,27.51,27.56,26.69,26.85,135900,26.85
2015-01-05,28.29,28.55,27.48,27.48,181300,27.48
2015-01-02,28.57,28.67,27.97,28.52,187100,28.52
2014-12-31,28.74,29.02,28.33,28.39,263800,28.39
2014-12-30,28.96,29.20,28.56,28.66,91100,28.66
2014-12-29,29.07,29.29,28.80,29.01,112700,29.01
