Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,7.33,7.33,7.12,7.12,1408600,7.12
2015-01-14,7.26,7.32,7.13,7.19,2510600,7.19
2015-01-13,7.37,7.41,7.26,7.32,1735400,7.32
2015-01-12,7.31,7.37,7.28,7.34,1600300,7.34
2015-01-09,7.38,7.44,7.22,7.29,2668900,7.29
2015-01-08,7.29,7.44,7.24,7.39,2655600,7.39
2015-01-07,7.36,7.43,7.19,7.22,2841800,7.22
2015-01-06,7.45,7.46,7.25,7.29,3578600,7.29
2015-01-05,7.55,7.55,7.44,7.45,3698300,7.45
2015-01-02,7.43,7.53,7.37,7.48,1770200,7.48
2014-12-31,7.45,7.49,7.37,7.42,3096200,7.42
2014-12-30,7.41,7.47,7.39,7.46,1942400,7.46
2014-12-29,7.46,7.49,7.39,7.45,2068200,7.45
