Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,21.17,21.37,20.64,21.01,23200,21.01
2015-01-14,21.00,21.64,21.00,21.02,20200,21.02
2015-01-13,20.75,21.68,20.75,21.10,38500,21.10
2015-01-12,20.02,20.53,19.76,20.39,16600,20.39
2015-01-09,20.72,20.87,19.76,19.96,17200,19.96
2015-01-08,20.73,21.29,20.42,20.79,20500,20.79
2015-01-07,20.73,20.73,20.00,20.47,22900,20.47
2015-01-06,21.22,21.22,19.80,20.46,26600,20.46
2015-01-05,21.81,22.13,21.10,21.28,12200,21.28
2015-01-02,20.86,22.12,20.59,22.10,33500,22.10
2014-12-31,22.00,22.00,20.88,20.99,14200,20.99
2014-12-30,21.67,22.11,21.66,21.96,1200,21.96
2014-12-29,21.33,21.70,21.26,21.69,12200,21.69
