Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,42.88,42.96,41.43,41.55,186800,41.55
2015-01-14,42.55,43.41,42.19,42.74,154400,42.74
2015-01-13,43.20,43.60,42.50,43.05,287800,43.05
2015-01-12,43.50,43.98,42.47,42.85,305200,42.85
2015-01-09,42.31,43.66,42.07,43.37,463700,43.37
2015-01-08,42.51,42.79,41.79,42.26,474600,42.26
2015-01-07,42.73,43.01,41.80,42.11,284200,42.11
2015-01-06,42.61,43.06,42.10,42.46,266100,42.46
2015-01-05,42.96,43.14,42.23,42.60,288200,42.60
2015-01-02,44.06,44.54,42.99,43.33,253600,43.33
2014-12-31,44.78,44.78,43.92,44.03,404800,44.03
2014-12-30,43.70,44.99,43.63,44.79,19800,44.79
2014-12-29,44.13,44.39,43.36,43.43,184800,43.43
