AAIT,2015-01-15,33.17,33.17,33.17,33.17,2015-01-14,33.02,33.17,33.01,33.17,2015-01-13,33.30,33.38,33.30,33.38,2015-01-12,33.26,33.29,32.96,33.29,2015-01-09,33.24,33.24,33.24,33.24,2015-01-08,33.20,33.24,33.19,33.24,2015-01-07,32.57,32.57,32.56,32.57,2015-01-06,32.02,32.02,32.00,32.02,2015-01-05,32.81,32.81,32.81,32.81,2015-01-02,32.94,32.98,32.81,32.81,2014-12-31,32.95,32.95,32.95,32.95,2014-12-30,32.86,32.95,32.86,32.95,2014-12-29,33.18,33.22,33.18,33.20
AAL,2015-01-15,49.14,50.40,48.58,49.41,2015-01-14,49.41,50.23,48.10,49.41,2015-01-13,50.12,51.43,49.46,50.40,2015-01-12,51.06,51.45,49.20,49.58,2015-01-09,53.67,53.91,51.82,52.02,2015-01-08,53.48,54.28,53.25,53.66,2015-01-07,53.38,53.65,52.12,53.01,2015-01-06,54.27,54.43,52.13,53.04,2015-01-05,54.37,54.54,53.34,53.88,2015-01-02,54.28,54.60,53.07,53.91,2014-12-31,53.90,54.64,53.32,53.63,2014-12-30,53.00,53.70,52.83,53.42,2014-12-29,51.65,53.24,51.30,52.85
AAME,2015-01-15,3.90,4.00,3.80,3.94,2015-01-14,3.89,4.00,3.89,4.00,2015-01-13,3.91,4.00,3.91,4.00,2015-01-12,4.00,4.00,4.00,4.00,2015-01-09,3.95,4.01,3.94,4.00,2015-01-08,3.92,3.95,3.92,3.95,2015-01-07,3.90,3.92,3.87,3.92,2015-01-06,3.95,3.95,3.75,3.92,2015-01-05,3.90,4.01,3.90,4.01,2015-01-02,3.99,4.03,3.98,4.03,2014-12-31,3.95,4.05,3.95,4.03,2014-12-30,3.88,3.95,3.86,3.93,2014-12-29,3.86,3.90,3.78,3.90
AAOI,2015-01-15,8.86,8.86,8.36,8.38,2015-01-14,9.01,9.12,8.51,8.80,2015-01-13,9.84,10.21,9.07,9.25,2015-01-12,10.06,10.06,9.57,9.70,2015-01-09,10.00,10.16,9.87,10.11,2015-01-08,9.99,10.23,9.84,9.96,2015-01-07,10.35,10.39,9.70,9.85,2015-01-06,10.65,10.69,10.15,10.25,2015-01-05,10.75,10.85,10.40,10.65,2015-01-02,11.28,11.28,10.72,10.79,2014-12-31,11.05,11.48,10.84,11.22,2014-12-30,10.94,11.16,10.93,11.02,2014-12-29,10.71,11.10,10.53,10.94
AAON,2015-01-15,21.81,21.81,21.00,21.30,2015-01-14,21.46,21.97,21.46,21.81,2015-01-13,21.45,21.99,21.37,21.79,2015-01-12,21.34,21.44,20.99,21.37,2015-01-09,21.50,21.50,21.19,21.41,2015-01-08,21.14,21.57,20.96,21.56,2015-01-07,21.05,21.14,20.69,21.04,2015-01-06,21.21,21.24,20.49,20.85,2015-01-05,21.80,21.93,21.11,21.19,2015-01-02,22.55,22.68,21.60,21.93,2014-12-31,22.45,22.75,22.35,22.39,2014-12-30,22.26,22.49,22.10,22.34,2014-12-29,22.34,22.50,22.21,22.30
AAPL,2015-01-15,110.00,110.06,106.66,106.82,2015-01-14,109.04,110.49,108.50,109.80,2015-01-13,111.43,112.80,108.91,110.22,2015-01-12,112.60,112.63,108.80,109.25,2015-01-09,112.67,113.25,110.21,112.01,2015-01-08,109.23,112.15,108.70,111.89,2015-01-07,107.20,108.20,106.70,107.75,2015-01-06,106.54,107.43,104.63,106.26,2015-01-05,108.29,108.65,105.41,106.25,2015-01-02,111.39,111.44,107.35,109.33,2014-12-31,112.82,113.13,110.21,110.38,2014-12-30,113.64,113.92,112.11,112.52,2014-12-29,113.79,114.77,113.70,113.91
AAVL,2015-01-15,57.09,60.44,51.08,51.56,2015-01-14,57.90,58.99,56.76,56.95,2015-01-13,59.23,60.70,57.37,58.88,2015-01-12,58.70,59.49,57.02,58.85,2015-01-09,59.25,60.35,57.00,58.66,2015-01-08,61.82,62.48,58.97,59.17,2015-01-07,55.00,60.70,55.00,60.08,2015-01-06,58.49,59.87,53.76,53.95,2015-01-05,59.49,60.98,58.11,58.94,2015-01-02,54.60,59.13,54.03,58.92,2014-12-31,56.29,57.37,53.85,54.00,2014-12-30,51.61,55.99,51.61,55.90,2014-12-29,48.86,52.63,48.81,51.92
AAWW,2015-01-15,46.08,46.43,45.04,45.48,2015-01-14,45.87,46.66,45.20,45.89,2015-01-13,47.19,48.17,45.82,46.67,2015-01-12,47.73,48.16,46.23,46.66,2015-01-09,48.34,48.63,47.36,47.57,2015-01-08,46.82,48.43,46.49,48.21,2015-01-07,46.07,46.50,45.43,46.48,2015-01-06,47.15,47.55,45.55,45.66,2015-01-05,48.09,48.09,46.57,46.65,2015-01-02,49.71,49.82,47.73,48.42,2014-12-31,49.15,50.12,48.95,49.30,2014-12-30,49.23,49.50,49.08,49.19,2014-12-29,49.17,49.40,48.87,49.16
AAXJ,2015-01-15,62.26,62.44,61.94,61.96,2015-01-14,61.36,61.49,60.96,61.43,2015-01-13,61.96,62.24,61.35,61.74,2015-01-12,61.40,61.58,61.11,61.18,2015-01-09,61.49,61.61,61.17,61.36,2015-01-08,60.96,61.53,60.92,61.40,2015-01-07,60.00,60.37,59.96,60.36,2015-01-06,59.60,59.84,59.04,59.32,2015-01-05,60.61,60.61,59.88,59.94,2015-01-02,61.17,61.17,60.49,60.63,2014-12-31,61.17,61.27,60.89,60.93,2014-12-30,60.70,60.79,60.57,60.67,2014-12-29,61.03,61.15,60.91,60.95
ABAC,2015-01-15,1.45,1.45,1.45,1.45,2015-01-14,1.46,1.52,1.40,1.44,2015-01-13,1.35,1.54,1.35,1.37,2015-01-12,1.51,1.54,1.36,1.37,2015-01-09,1.63,1.63,1.52,1.54,2015-01-08,1.66,1.70,1.66,1.68,2015-01-07,1.72,1.74,1.72,1.74,2015-01-06,1.78,1.78,1.70,1.70,2015-01-05,1.80,1.80,1.74,1.79,2015-01-02,1.72,1.82,1.72,1.81,2014-12-31,1.88,1.91,1.71,1.73,2014-12-30,1.70,1.70,1.70,1.70,2014-12-29,1.68,1.70,1.64,1.70
